<pad>	 : 0
 	 : 1
i	 : 2
m	 : 3
p	 : 4
o	 : 5
r	 : 6
t	 : 7
j	 : 8
a	 : 9
v	 : 10
x	 : 11
.	 : 12
c	 : 13
e	 : 14
d	 : 15
n	 : 16
l	 : 17
u	 : 18
C	 : 19
s	 : 20
;	 : 21

	 : 22
G	 : 23
h	 : 24
b	 : 25
O	 : 26
{	 : 27
f	 : 28
g	 : 29
(	 : 30
)	 : 31
=	 : 32
w	 : 33
}	 : 34
H	 : 35
S	 : 36
I	 : 37
/	 : 38
1	 : 39
:	 : 40
y	 : 41
2	 : 42
E	 : 43
,	 : 44
F	 : 45
N	 : 46
3	 : 47
4	 : 48
L	 : 49
P	 : 50
J	 : 51
A	 : 52
[	 : 53
]	 : 54
B	 : 55
T	 : 56
k	 : 57
"	 : 58
!	 : 59
D	 : 60
X	 : 61
_	 : 62
V	 : 63
-	 : 64
8	 : 65
z	 : 66
6	 : 67
0	 : 68
<	 : 69
+	 : 70
M	 : 71
R	 : 72
U	 : 73
W	 : 74
$	 : 75
>	 : 76
5	 : 77
K	 : 78
*	 : 79
7	 : 80
9	 : 81
q	 : 82
Z	 : 83
@	 : 84
'	 : 85
\	 : 86
Q	 : 87
%	 : 88
?	 : 89
&	 : 90
|	 : 91
Y	 : 92
#	 : 93
^	 : 94
~	 : 95
`	 : 96
<pad>	 : 0
 	 : 1
i	 : 2
m	 : 3
p	 : 4
o	 : 5
r	 : 6
t	 : 7
j	 : 8
a	 : 9
v	 : 10
x	 : 11
.	 : 12
c	 : 13
e	 : 14
d	 : 15
n	 : 16
l	 : 17
u	 : 18
C	 : 19
s	 : 20
;	 : 21

	 : 22
G	 : 23
h	 : 24
b	 : 25
O	 : 26
{	 : 27
f	 : 28
g	 : 29
(	 : 30
)	 : 31
=	 : 32
w	 : 33
}	 : 34
H	 : 35
S	 : 36
I	 : 37
/	 : 38
1	 : 39
:	 : 40
y	 : 41
2	 : 42
E	 : 43
,	 : 44
F	 : 45
N	 : 46
3	 : 47
4	 : 48
L	 : 49
P	 : 50
J	 : 51
A	 : 52
[	 : 53
]	 : 54
B	 : 55
T	 : 56
k	 : 57
"	 : 58
!	 : 59
D	 : 60
X	 : 61
_	 : 62
V	 : 63
-	 : 64
8	 : 65
z	 : 66
6	 : 67
0	 : 68
<	 : 69
+	 : 70
M	 : 71
R	 : 72
U	 : 73
W	 : 74
$	 : 75
>	 : 76
5	 : 77
K	 : 78
*	 : 79
7	 : 80
9	 : 81
q	 : 82
Z	 : 83
@	 : 84
'	 : 85
\	 : 86
Q	 : 87
%	 : 88
?	 : 89
&	 : 90
|	 : 91
Y	 : 92
#	 : 93
^	 : 94
~	 : 95
`	 : 96
